Субъект РФ;Численность студентов, всего человек, 2015;Численность студентов, очная форма, человек, 2015;Численность студентов очно-заочная (вечерняя) форма, человек, 2015;Численность студентов заочная форма, человек, 2015;Численность студентов, всего человек, 2017;Численность студентов, очная форма, человек, 2017;Численность студентов очно-заочная (вечерняя) форма, человек, 2017;Численность студентов заочная форма, человек, 2017;Численность студентов, всего человек, 2018;Численность студентов, очная форма, человек, 2018;Численность студентов очно-заочная (вечерняя) форма, человек, 2018;Численность студентов заочная форма, человек, 2018;Численность студентов, всего человек, 2019;Численность студентов, очная форма, человек, 2019;Численность студентов очно-заочная (вечерняя) форма, человек, 2019;Численность студентов заочная форма, человек, 2019;;
Российская Федерация;4766479;2379588;149102;2237789;4245885;2380454;135014;1730417;4161672;2369787;155588;1636297;4068327;2386578;181477;1500272;;
Центральный федеральный округ;1455273;730933;72132;652208;1303941;744398;62833;496710;1286588;747407;69939;469242;1268510;766368;79526;422616;;
   Белгородская область;53050;24803;290;27957;49007;23192;387;25428;47734;22192;576;24966;46787;23530;687;22570;;
   Брянская область;34540;12894;624;21022;27046;11910;970;14166;25340;11180;1152;13008;23737;10903;1193;11641;;
   Владимирская область;33461;13365;217;19879;27215;12358;292;14565;27577;11762;1395;14420;26397;11272;1901;13224;;
   Воронежская область;91775;46986;2124;42665;87030;47606;946;38478;85977;47595;944;37438;85071;48514;1202;35355;;
   Ивановская область;31327;17166;188;13973;26405;15520;396;10489;25419;15190;748;9481;24656;14950;1114;8592;;
   Калужская область;22033;10404;303;11326;18604;10419;269;7916;18690;10466;589;7635;18588;10468;784;7336;;
   Костромская область;13597;6189;466;6942;10834;5723;442;4669;10647;5520;463;4664;10247;5534;473;4240;;
   Курская область;54632;20190;218;34224;41056;19985;372;20699;37979;19240;527;18212;36373;18846;579;16948;;
   Липецкая область;24933;10920;1378;12635;21715;10153;1548;10014;21165;10076;2025;9064;20204;10188;2525;7491;;
   Московская область;111985;39773;4095;68117;77100;35361;2439;39300;81750;36823;3179;41748;80972;38075;3979;38918;;
   Орловская область;31943;15376;1534;15033;30949;14724;1913;14312;30340;14963;1749;13628;28551;14635;1572;12344;;
   Рязанская область;35552;16862;738;17952;32684;17552;980;14152;30656;17441;979;12236;29778;17117;1083;11578;;
   Смоленская область;26205;12708;488;13009;21745;12602;740;8403;21511;12416;615;8480;21672;12752;822;8098;;
   Тамбовская область;29182;14142;430;14610;28554;14437;743;13374;27822;13913;873;13036;27890;13996;1010;12884;;
   Тверская область;29192;14365;45;14782;25049;14397;53;10599;24462;14193;92;10177;23578;14371;179;9028;;
   Тульская область;34968;15273;590;19105;32539;15885;812;15842;33043;15769;1448;15826;33520;16070;2030;15420;;
   Ярославская область;37187;18197;695;18295;31256;18259;703;12294;30395;18195;760;11440;30646;18355;907;11384;;
   г.Москва;759711;421320;57709;280682;715153;444315;48828;222010;706081;450473;51825;203783;699843;466792;57486;175565;;
Северо-Западный федеральный округ;464645;266108;18067;180470;420531;274309;13557;132665;418528;279034;13171;126323;418905;285175;13812;119918;;
   Республика Карелия;14311;7649;0;6662;11636;7608;9;4019;11539;7877;50;3612;10928;7747;119;3062;;
   Республика Коми;20515;9072;271;11172;16359;8470;557;7332;15622;7750;633;7239;14646;7357;566;6723;;
   Архангельская область;22691;10678;292;11721;18944;11555;239;7150;18590;11580;346;6664;17720;11656;434;5630;;
   Вологодская область;24323;10727;457;13139;19108;9677;273;9158;18606;9181;455;8970;18358;9221;460;8677;;
   Калининградская область;27377;11514;811;15052;23651;11859;502;11290;22444;11894;506;10044;21256;11870;417;8969;;
   Ленинградская область;9867;2953;61;6853;7985;2951;109;4925;7780;2788;209;4783;6750;2760;243;3747;;
   Мурманская область;15394;5601;353;9440;8789;4462;137;4190;7916;4190;152;3574;6966;3809;168;2989;;
   Новгородская область;12489;5141;88;7260;8080;4812;126;3142;7862;4754;159;2949;8073;4886;232;2955;;
   Псковская область;14365;6071;71;8223;12402;6113;97;6192;11918;6038;127;5753;11592;6075;146;5371;;
   г.Санкт-Петербург;303313;196702;15663;90948;293577;206802;11508;75267;296251;212982;10534;72735;302616;219794;11027;71795;;
   Ненецкий автономный округ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Южный федеральный округ;470719;231318;8383;231018;420859;224305;9031;187523;418266;222321;12239;183706;404562;220903;16104;167555;;
   Республика Адыгея;12637;6428;270;5939;12446;7006;386;5054;13229;7784;437;5008;14198;8287;563;5348;;
   Республика Калмыкия;8546;3858;0;4688;8243;4548;42;3653;8337;4678;81;3578;8850;4413;523;3914;;
   Краснодарский край;130461;61468;1121;67872;117439;58855;1826;56758;115799;57525;2993;55281;109182;56095;4593;48494;;
   Астраханская область;37766;15616;1181;20969;29367;16685;1129;11553;29797;16776;1337;11684;29938;17397;1570;10971;;
   Волгоградская область;71637;36035;1830;33772;62683;33513;1895;27275;60907;32498;2439;25970;58752;31601;2552;24599;;
   Ростовская область;149160;72304;3408;73448;134514;69521;3153;61840;136425;69801;4206;62418;133154;70469;5368;57317;;
   г.Севастополь;15152;8440;415;6297;14226;8627;297;5302;13959;8808;299;4852;13902;9130;283;4489;;
   Республика Крым;45360;27169;158;18033;41941;25550;303;16088;39813;24451;447;14915;36586;23511;652;12423;;
Северо-Кавказский федеральный округ;256937;111369;4348;141220;217565;107650;4375;105540;214201;107474;6794;99933;208610;108617;8971;91022;;
   Республика Дагестан;70989;28323;434;42232;55397;26289;366;28742;52646;25514;880;26252;51629;25088;1408;25133;;
   Республика Ингушетия;8862;3785;0;5077;7651;3447;0;4204;7507;3420;0;4087;7350;3601;60;3689;;
   Кабардино-Балкарская Республика;17070;9650;228;7192;14079;9674;134;4271;14626;10184;161;4281;15255;10788;322;4145;;
   Карачаево-Черкесская Республика;13125;4809;39;8277;10720;4795;127;5798;11119;5236;204;5679;11231;5570;192;5469;;
   Республика Северная Осетия - Алания;26094;13957;553;11584;22931;13576;724;8631;21158;13601;720;6837;20881;13539;719;6623;;
   Чеченская Республика;33121;13303;2055;17763;34479;14550;2023;17906;35175;14910;2440;17825;33576;14803;2752;16021;;
